Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login scenarios,Chrome 66.0.3359.139,,2018-05-12 14:13:17,2018-05-12 14:13:39,21.644s,PASSED
,,,,,,
Test Cases/Successfully Login,Chrome 66.0.3359.139,,2018-05-12 14:13:18,2018-05-12 14:13:39,20.924s,PASSED
openBrowser,Chrome 66.0.3359.139,,2018-05-12 14:13:18,2018-05-12 14:13:22,3.946s,PASSED
navigateToUrl,Chrome 66.0.3359.139,,2018-05-12 14:13:22,2018-05-12 14:13:32,9.291s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-12 14:13:32,2018-05-12 14:13:32,0.250s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 14:13:32,2018-05-12 14:13:32,0.164s,PASSED
waitForElementVisible,Chrome 66.0.3359.139,,2018-05-12 14:13:32,2018-05-12 14:13:33,0.595s,PASSED
setText,Chrome 66.0.3359.139,,2018-05-12 14:13:33,2018-05-12 14:13:33,0.159s,PASSED
click,Chrome 66.0.3359.139,,2018-05-12 14:13:33,2018-05-12 14:13:33,0.106s,PASSED
verifyElementVisible,Chrome 66.0.3359.139,,2018-05-12 14:13:33,2018-05-12 14:13:38,4.991s,PASSED
closeBrowser,Chrome 66.0.3359.139,,2018-05-12 14:13:38,2018-05-12 14:13:39,0.645s,PASSED
